NE,Card,Object,Tx Optical Power(dBm),Rx Optical Power(dBm),Tx Laser Bias Current(mA),Transceiver Temperature(Celsius),3.3V supply voltage(V),+5V supply voltage(V),+1.8V supply voltage(V),XFP temperature(Celsius),TEC current(mA),Laser wavelength(nm)
IGES,A1:SAM_4,oPort 1-SFP,1.0,-17.0,30.0,43.4,3.28,NA,NA,NA,NA,NA
IGES,A2:SAM_4,oPort 1-SFP,-10.0,-25.7,9.7,20.8,3.27,NA,NA,NA,NA,NA
VES,A1:SAM_4,oPort 1-SFP,1.4,-15.9,30.0,43.1,3.28,NA,NA,NA,NA,NA
VES,A2:SAM_4,oPort 1-SFP,1.5,-9.6,30.1,46.1,3.28,NA,NA,NA,NA,NA
TEC-9,A1:SAM_4,oPort 1-SFP,-10.1,-14.2,10.2,23.7,3.28,NA,NA,NA,NA,NA
TEC-9,A2:SAM_4,oPort 1-SFP,-10.0,-15.4,10.1,24.4,3.28,NA,NA,NA,NA,NA
Kirovskaya_ITC,A1:SAM_4,oPort 1-SFP,1.2,-10.7,30.0,41.4,3.28,NA,NA,NA,NA,NA
Kirovskaya_ITC,A2:SAM_4,oPort 1-SFP,2.9,-13.4,34.4,29.6,3.49,NA,NA,NA,NA,NA
TEC-1,A1:SAM_4,oPort 1-SFP,-9.9,-13.4,10.7,29.3,3.28,NA,NA,NA,NA,NA
TEC-1,A2:SAM_4,oPort 1-SFP,-10.0,-12.8,11.4,30.1,3.27,NA,NA,NA,NA,NA
BCBK_BG,XS A:SAM_16,oPort 1-SFP,-3.0,-2.5,19.5,37.9,3.33,NA,NA,NA,NA,NA
BCBK_BG,XS B:SAM_16,oPort 1-SFP,0.5,-10.1,22.7,44.1,3.31,NA,NA,NA,NA,NA
BCBK_BG,TS2:DMGE_4_L2,GE-ETY port 1-SFP,-4.8,-4.7,13.7,34.2,3.26,NA,NA,NA,NA,NA
